numero_clientes,numero_servidores,msgs_por_cliente,tempo_todos_clientes,tempo_medio_por_cliente,tempo_medio_por_msg,Throughput_medio,tempo_resposta_servidor
1,1,5,0.0536,0.0536,0.01072,93.28068,0.00092
2,1,5,0.0,0.0,0.0,0.0,0.0
3,1,5,0.0,0.0,0.0,0.0,0.0
4,1,5,0.0,0.0,0.0,0.0,0.0
5,1,5,0.0,0.0,0.0,0.0,0.0
6,1,5,0.0,0.0,0.0,0.0,0.0
7,1,5,0.0,0.0,0.0,0.0,0.0
8,1,5,0.0,0.0,0.0,0.0,0.0
9,1,5,0.0,0.0,0.0,0.0,0.0
10,1,5,0.0,0.0,0.0,0.0,0.0
11,1,5,0.0,0.0,0.0,0.0,0.0
12,1,5,0.0,0.0,0.0,0.0,0.0
13,1,5,0.0,0.0,0.0,0.0,0.0
14,1,5,0.0,0.0,0.0,0.0,0.0
15,1,5,0.0,0.0,0.0,0.0,0.0
16,1,5,0.0,0.0,0.0,0.0,0.0
17,1,5,0.0,0.0,0.0,0.0,0.0
18,1,5,0.0,0.0,0.0,0.0,0.0
19,1,5,0.0,0.0,0.0,0.0,0.0
20,1,5,0.0,0.0,0.0,0.0,0.0
21,1,5,0.0,0.0,0.0,0.0,0.0
22,1,5,0.0,0.0,0.0,0.0,0.0
23,1,5,0.0,0.0,0.0,0.0,0.0
24,1,5,0.0,0.0,0.0,0.0,0.0
25,1,5,0.0,0.0,0.0,0.0,0.0
26,1,5,0.0,0.0,0.0,0.0,0.0
27,1,5,0.0,0.0,0.0,0.0,0.0
28,1,5,0.0,0.0,0.0,0.0,0.0
29,1,5,0.0,0.0,0.0,0.0,0.0
30,1,5,0.0,0.0,0.0,0.0,0.0
31,1,5,0.0,0.0,0.0,0.0,0.0
32,1,5,0.0,0.0,0.0,0.0,0.0
33,1,5,0.0,0.0,0.0,0.0,0.0
34,1,5,0.0,0.0,0.0,0.0,0.0
35,1,5,0.0,0.0,0.0,0.0,0.0
36,1,5,0.0,0.0,0.0,0.0,0.0
37,1,5,0.0,0.0,0.0,0.0,0.0
38,1,5,0.0,0.0,0.0,0.0,0.0
39,1,5,0.0,0.0,0.0,0.0,0.0
40,1,5,0.0,0.0,0.0,0.0,0.0
41,1,5,0.0,0.0,0.0,0.0,0.0
42,1,5,0.0,0.0,0.0,0.0,0.0
43,1,5,0.0,0.0,0.0,0.0,0.0
44,1,5,0.0,0.0,0.0,0.0,0.0
45,1,5,0.0,0.0,0.0,0.0,0.0
46,1,5,0.0,0.0,0.0,0.0,0.0
47,1,5,0.0,0.0,0.0,0.0,0.0
48,1,5,0.0,0.0,0.0,0.0,0.0
49,1,5,0.0,0.0,0.0,0.0,0.0
50,1,5,0.0,0.0,0.0,0.0,0.0
51,1,5,0.0,0.0,0.0,0.0,0.0
52,1,5,0.0,0.0,0.0,0.0,0.0
53,1,5,0.0,0.0,0.0,0.0,0.0
54,1,5,0.0,0.0,0.0,0.0,0.0
55,1,5,0.0,0.0,0.0,0.0,0.0
56,1,5,0.0,0.0,0.0,0.0,0.0
57,1,5,0.0,0.0,0.0,0.0,0.0
58,1,5,0.0,0.0,0.0,0.0,0.0
59,1,5,0.0,0.0,0.0,0.0,0.0
60,1,5,0.0,0.0,0.0,0.0,0.0
61,1,5,0.0,0.0,0.0,0.0,0.0
62,1,5,0.0,0.0,0.0,0.0,0.0
63,1,5,0.0,0.0,0.0,0.0,0.0
64,1,5,0.0,0.0,0.0,0.0,0.0
65,1,5,0.0,0.0,0.0,0.0,0.0
66,1,5,0.0,0.0,0.0,0.0,0.0
67,1,5,0.0,0.0,0.0,0.0,0.0
68,1,5,0.0,0.0,0.0,0.0,0.0
69,1,5,0.0,0.0,0.0,0.0,0.0
70,1,5,0.0,0.0,0.0,0.0,0.0
71,1,5,0.0,0.0,0.0,0.0,0.0
72,1,5,0.0,0.0,0.0,0.0,0.0
73,1,5,0.0,0.0,0.0,0.0,0.0
74,1,5,0.0,0.0,0.0,0.0,0.0
75,1,5,0.0,0.0,0.0,0.0,0.0
76,1,5,0.0,0.0,0.0,0.0,0.0
77,1,5,0.0,0.0,0.0,0.0,0.0
78,1,5,0.0,0.0,0.0,0.0,0.0
79,1,5,0.0,0.0,0.0,0.0,0.0
80,1,5,0.0,0.0,0.0,0.0,0.0
81,1,5,0.0,0.0,0.0,0.0,0.0
82,1,5,0.0,0.0,0.0,0.0,0.0
83,1,5,0.0,0.0,0.0,0.0,0.0
84,1,5,0.0,0.0,0.0,0.0,0.0
85,1,5,0.0,0.0,0.0,0.0,0.0
86,1,5,0.0,0.0,0.0,0.0,0.0
87,1,5,0.0,0.0,0.0,0.0,0.0
88,1,5,0.0,0.0,0.0,0.0,0.0
89,1,5,0.0,0.0,0.0,0.0,0.0
90,1,5,0.0,0.0,0.0,0.0,0.0
91,1,5,0.0,0.0,0.0,0.0,0.0
92,1,5,0.0,0.0,0.0,0.0,0.0
93,1,5,0.0,0.0,0.0,0.0,0.0
94,1,5,0.0,0.0,0.0,0.0,0.0
95,1,5,0.0,0.0,0.0,0.0,0.0
96,1,5,0.0,0.0,0.0,0.0,0.0
97,1,5,0.0,0.0,0.0,0.0,0.0
98,1,5,0.0,0.0,0.0,0.0,0.0
99,1,5,0.0,0.0,0.0,0.0,0.0
100,1,5,0.0,0.0,0.0,0.0,0.0
1,2,5,0.0,0.0,0.0,0.0,0.0
2,2,5,0.0,0.0,0.0,0.0,0.0
3,2,5,0.0,0.0,0.0,0.0,0.0
4,2,5,0.0,0.0,0.0,0.0,0.0
5,2,5,0.0,0.0,0.0,0.0,0.0
6,2,5,0.0,0.0,0.0,0.0,0.0
7,2,5,0.0,0.0,0.0,0.0,0.0
8,2,5,0.0,0.0,0.0,0.0,0.0
9,2,5,0.0,0.0,0.0,0.0,0.0
10,2,5,0.0,0.0,0.0,0.0,0.0
11,2,5,0.0,0.0,0.0,0.0,0.0
12,2,5,0.0,0.0,0.0,0.0,0.0
13,2,5,0.0,0.0,0.0,0.0,0.0
14,2,5,0.0,0.0,0.0,0.0,0.0
15,2,5,0.0,0.0,0.0,0.0,0.0
16,2,5,0.0,0.0,0.0,0.0,0.0
17,2,5,0.0,0.0,0.0,0.0,0.0
18,2,5,0.0,0.0,0.0,0.0,0.0
19,2,5,0.0,0.0,0.0,0.0,0.0
20,2,5,0.0,0.0,0.0,0.0,0.0
21,2,5,0.0,0.0,0.0,0.0,0.0
22,2,5,0.0,0.0,0.0,0.0,0.0
23,2,5,0.0,0.0,0.0,0.0,0.0
24,2,5,0.0,0.0,0.0,0.0,0.0
25,2,5,0.0,0.0,0.0,0.0,0.0
26,2,5,0.0,0.0,0.0,0.0,0.0
27,2,5,0.0,0.0,0.0,0.0,0.0
28,2,5,0.0,0.0,0.0,0.0,0.0
29,2,5,0.0,0.0,0.0,0.0,0.0
30,2,5,0.0,0.0,0.0,0.0,0.0
31,2,5,0.0,0.0,0.0,0.0,0.0
32,2,5,0.0,0.0,0.0,0.0,0.0
33,2,5,0.0,0.0,0.0,0.0,0.0
34,2,5,0.0,0.0,0.0,0.0,0.0
35,2,5,0.0,0.0,0.0,0.0,0.0
36,2,5,0.0,0.0,0.0,0.0,0.0
37,2,5,0.0,0.0,0.0,0.0,0.0
38,2,5,0.0,0.0,0.0,0.0,0.0
39,2,5,0.0,0.0,0.0,0.0,0.0
40,2,5,0.0,0.0,0.0,0.0,0.0
41,2,5,0.0,0.0,0.0,0.0,0.0
42,2,5,0.0,0.0,0.0,0.0,0.0
43,2,5,0.0,0.0,0.0,0.0,0.0
44,2,5,0.0,0.0,0.0,0.0,0.0
45,2,5,0.0,0.0,0.0,0.0,0.0
46,2,5,0.0,0.0,0.0,0.0,0.0
47,2,5,0.0,0.0,0.0,0.0,0.0
48,2,5,0.0,0.0,0.0,0.0,0.0
49,2,5,0.0,0.0,0.0,0.0,0.0
50,2,5,0.0,0.0,0.0,0.0,0.0
51,2,5,0.0,0.0,0.0,0.0,0.0
52,2,5,0.0,0.0,0.0,0.0,0.0
53,2,5,0.0,0.0,0.0,0.0,0.0
54,2,5,0.0,0.0,0.0,0.0,0.0
55,2,5,0.0,0.0,0.0,0.0,0.0
56,2,5,0.0,0.0,0.0,0.0,0.0
57,2,5,0.0,0.0,0.0,0.0,0.0
58,2,5,0.0,0.0,0.0,0.0,0.0
59,2,5,0.0,0.0,0.0,0.0,0.0
60,2,5,0.0,0.0,0.0,0.0,0.0
61,2,5,0.0,0.0,0.0,0.0,0.0
62,2,5,0.0,0.0,0.0,0.0,0.0
63,2,5,0.0,0.0,0.0,0.0,0.0
64,2,5,0.0,0.0,0.0,0.0,0.0
65,2,5,0.0,0.0,0.0,0.0,0.0
66,2,5,0.0,0.0,0.0,0.0,0.0
67,2,5,0.0,0.0,0.0,0.0,0.0
68,2,5,0.0,0.0,0.0,0.0,0.0
69,2,5,0.0,0.0,0.0,0.0,0.0
70,2,5,0.0,0.0,0.0,0.0,0.0
71,2,5,0.0,0.0,0.0,0.0,0.0
72,2,5,0.0,0.0,0.0,0.0,0.0
73,2,5,0.0,0.0,0.0,0.0,0.0
74,2,5,0.0,0.0,0.0,0.0,0.0
75,2,5,0.0,0.0,0.0,0.0,0.0
76,2,5,0.0,0.0,0.0,0.0,0.0
77,2,5,0.0,0.0,0.0,0.0,0.0
78,2,5,0.0,0.0,0.0,0.0,0.0
79,2,5,0.0,0.0,0.0,0.0,0.0
80,2,5,0.0,0.0,0.0,0.0,0.0
81,2,5,0.0,0.0,0.0,0.0,0.0
82,2,5,0.0,0.0,0.0,0.0,0.0
83,2,5,0.0,0.0,0.0,0.0,0.0
84,2,5,0.0,0.0,0.0,0.0,0.0
85,2,5,0.0,0.0,0.0,0.0,0.0
86,2,5,0.0,0.0,0.0,0.0,0.0
87,2,5,0.0,0.0,0.0,0.0,0.0
88,2,5,0.0,0.0,0.0,0.0,0.0
89,2,5,0.0,0.0,0.0,0.0,0.0
90,2,5,0.0,0.0,0.0,0.0,0.0
91,2,5,0.0,0.0,0.0,0.0,0.0
92,2,5,0.0,0.0,0.0,0.0,0.0
93,2,5,0.0,0.0,0.0,0.0,0.0
94,2,5,0.0,0.0,0.0,0.0,0.0
95,2,5,0.0,0.0,0.0,0.0,0.0
96,2,5,0.0,0.0,0.0,0.0,0.0
97,2,5,0.0,0.0,0.0,0.0,0.0
98,2,5,0.0,0.0,0.0,0.0,0.0
99,2,5,0.0,0.0,0.0,0.0,0.0
100,2,5,0.0,0.0,0.0,0.0,0.0
1,3,5,0.0,0.0,0.0,0.0,0.0
2,3,5,0.0,0.0,0.0,0.0,0.0
3,3,5,0.0,0.0,0.0,0.0,0.0
4,3,5,0.0,0.0,0.0,0.0,0.0
5,3,5,0.0,0.0,0.0,0.0,0.0
6,3,5,0.0,0.0,0.0,0.0,0.0
7,3,5,0.0,0.0,0.0,0.0,0.0
8,3,5,0.0,0.0,0.0,0.0,0.0
9,3,5,0.0,0.0,0.0,0.0,0.0
10,3,5,0.0,0.0,0.0,0.0,0.0
11,3,5,0.0,0.0,0.0,0.0,0.0
12,3,5,0.0,0.0,0.0,0.0,0.0
13,3,5,0.0,0.0,0.0,0.0,0.0
14,3,5,0.0,0.0,0.0,0.0,0.0
15,3,5,0.0,0.0,0.0,0.0,0.0
16,3,5,0.0,0.0,0.0,0.0,0.0
17,3,5,0.0,0.0,0.0,0.0,0.0
18,3,5,0.0,0.0,0.0,0.0,0.0
19,3,5,0.0,0.0,0.0,0.0,0.0
20,3,5,0.0,0.0,0.0,0.0,0.0
21,3,5,0.0,0.0,0.0,0.0,0.0
22,3,5,0.0,0.0,0.0,0.0,0.0
23,3,5,0.0,0.0,0.0,0.0,0.0
24,3,5,0.0,0.0,0.0,0.0,0.0
25,3,5,0.0,0.0,0.0,0.0,0.0
26,3,5,0.0,0.0,0.0,0.0,0.0
27,3,5,0.0,0.0,0.0,0.0,0.0
28,3,5,0.0,0.0,0.0,0.0,0.0
29,3,5,0.0,0.0,0.0,0.0,0.0
30,3,5,0.0,0.0,0.0,0.0,0.0
31,3,5,0.0,0.0,0.0,0.0,0.0
32,3,5,0.0,0.0,0.0,0.0,0.0
33,3,5,0.0,0.0,0.0,0.0,0.0
34,3,5,0.0,0.0,0.0,0.0,0.0
35,3,5,0.0,0.0,0.0,0.0,0.0
36,3,5,0.0,0.0,0.0,0.0,0.0
37,3,5,0.0,0.0,0.0,0.0,0.0
38,3,5,0.0,0.0,0.0,0.0,0.0
39,3,5,0.0,0.0,0.0,0.0,0.0
40,3,5,0.0,0.0,0.0,0.0,0.0
41,3,5,0.0,0.0,0.0,0.0,0.0
42,3,5,0.0,0.0,0.0,0.0,0.0
43,3,5,0.0,0.0,0.0,0.0,0.0
44,3,5,0.0,0.0,0.0,0.0,0.0
45,3,5,0.0,0.0,0.0,0.0,0.0
46,3,5,0.0,0.0,0.0,0.0,0.0
47,3,5,0.0,0.0,0.0,0.0,0.0
48,3,5,0.0,0.0,0.0,0.0,0.0
49,3,5,0.0,0.0,0.0,0.0,0.0
50,3,5,0.0,0.0,0.0,0.0,0.0
51,3,5,0.0,0.0,0.0,0.0,0.0
52,3,5,0.0,0.0,0.0,0.0,0.0
53,3,5,0.0,0.0,0.0,0.0,0.0
54,3,5,0.0,0.0,0.0,0.0,0.0
55,3,5,0.0,0.0,0.0,0.0,0.0
56,3,5,0.0,0.0,0.0,0.0,0.0
57,3,5,0.0,0.0,0.0,0.0,0.0
58,3,5,0.0,0.0,0.0,0.0,0.0
59,3,5,0.0,0.0,0.0,0.0,0.0
60,3,5,0.0,0.0,0.0,0.0,0.0
61,3,5,0.0,0.0,0.0,0.0,0.0
62,3,5,0.0,0.0,0.0,0.0,0.0
63,3,5,0.0,0.0,0.0,0.0,0.0
64,3,5,0.0,0.0,0.0,0.0,0.0
65,3,5,0.0,0.0,0.0,0.0,0.0
66,3,5,0.0,0.0,0.0,0.0,0.0
67,3,5,0.0,0.0,0.0,0.0,0.0
68,3,5,0.0,0.0,0.0,0.0,0.0
69,3,5,0.0,0.0,0.0,0.0,0.0
70,3,5,0.0,0.0,0.0,0.0,0.0
71,3,5,0.0,0.0,0.0,0.0,0.0
72,3,5,0.0,0.0,0.0,0.0,0.0
73,3,5,0.0,0.0,0.0,0.0,0.0
74,3,5,0.0,0.0,0.0,0.0,0.0
75,3,5,0.0,0.0,0.0,0.0,0.0
76,3,5,0.0,0.0,0.0,0.0,0.0
77,3,5,0.0,0.0,0.0,0.0,0.0
78,3,5,0.0,0.0,0.0,0.0,0.0
79,3,5,0.0,0.0,0.0,0.0,0.0
80,3,5,0.0,0.0,0.0,0.0,0.0
81,3,5,0.0,0.0,0.0,0.0,0.0
82,3,5,0.0,0.0,0.0,0.0,0.0
83,3,5,0.0,0.0,0.0,0.0,0.0
84,3,5,0.0,0.0,0.0,0.0,0.0
85,3,5,0.0,0.0,0.0,0.0,0.0
86,3,5,0.0,0.0,0.0,0.0,0.0
87,3,5,0.0,0.0,0.0,0.0,0.0
88,3,5,0.0,0.0,0.0,0.0,0.0
89,3,5,0.0,0.0,0.0,0.0,0.0
90,3,5,0.0,0.0,0.0,0.0,0.0
91,3,5,0.0,0.0,0.0,0.0,0.0
